datetime,name,message,score,positive_value,negative_value,joy,surprise,sadness,pleasant,fear,anger,neutral
30/11/2022 19:27,TinyGirlz InHeartLandZ,พี่อีฟ ไม่น้าาาา,0,0,0,0,0,0,1,0,0,0
30/11/2022 19:27,AdK ก้องไก่กุ้กๆ,สวัสดีดีรอบห้องค้าบ,75,1,0,0,0,0,0,0,0,1
30/11/2022 19:27,evejangja,พี่หมดแรงง,66.67,0,1,0,0,0,0,0,0,1
30/11/2022 19:27,Ninja Power,:_pake::_pake::_pake::_pake::_pake::_pake:,66.67,0,1,0,0,0,0,0,0,0
30/11/2022 19:27,TinyGirlz InHeartLandZ,อย่าฝากน้องงงงง เดี๋ยวน้องก็หลับเนี่ย!,80,0,1,0,0,0,0,0,0,0
30/11/2022 19:27,jodie Holmes,พี่กิตตตต ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:27,evejangja,พี่อยู่วว ซดกาแฟก่อนนน,66.67,0,1,0,0,0,0,0,0,0
30/11/2022 19:27,Karakkada praphai,ชอบปก 5555,75,1,0,0,0,0,0,0,0,1
30/11/2022 19:27,Feeling Inmybones,รอค่า,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,Thanaset Kundilokvanich,มารอนะตัวเอง,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,NAME NON,ม่าแล้วๆๆๆๆๆ,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:28,Pakwun Y.,มาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,Cumberoil ,โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,Nui Jintana,โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,Mint Mintt,ภาพปกตะมุตะมิมาก 555,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,MrDullZ,โออออมาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,evejangja,พี่เอกอย่าลืมเตรียมน้ำดื่มเยอะๆ น้าาา,0,0,0,0,0,0,1,0,0,0
30/11/2022 19:28,Sunita Singpun,มาค้าบบเช็คชื่อ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,TinyGirlz InHeartLandZ,พี่อีฟ น้องกินยานอนหลับแล้ว อีกไม่นาน น้องหลับแน่ค่ะพี่อีฟ,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:28,NEONN N,สวัสดีพี่กิต สวัสดีพี่แอดก้องค่ะ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,evejangja,ยาพ่นๆ อย่าลืมๆ,0,0,0,0,0,0,1,0,0,0
30/11/2022 19:28,momomod,รอๆๆๆ,0,0,0,1,0,0,0,0,0,0
30/11/2022 19:28,evejangja,น้องทิพพ เด่วววว,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:28,ชญานิษฐ์ สุดใจ,รอๆ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,jodie Holmes,แอลโอวีอี :_hrk::_conan:,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,Mmk.n,เครโทสซารางเฮวะซั่น,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:28,Elysia s Chair,Welcome to ร้อนในเริ่มต้น!,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:28,Moonista Gal,น้ำพร้อมแว่นพร้อมนะพี่,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,Nui Jintana,จะมาใน 3 2 ..,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Palm 999100,ฮาโหลววว,75,1,0,0,0,0,1,0,0,0
30/11/2022 19:29,evejangja,หนุ่มแว่น เอาว่าา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,????????? ,ก็ มาาาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Nui Jintana,โอเลลลล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,FIRST Mk,โอออออออ เลี้ยง!,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Megane SaMa,:_hello::_hello::_hello:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,LT Chang,3,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,LT Chang,2,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,19_ Feb _92,มาาาาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Wenldy Blue,มาาาาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,LT Chang,1,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,PRN KTK,:_hellothere::_hellothere::_hellothere:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,Aisuke,จะเหล่ท่อยัง,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Bew Meow Gaming,มาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Himo Gopp,โอเล่เล่เล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Wenldy Blue,โอลเลเลเลเล่่่ล่ล,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,Mintny Bambi,กดสตรีมเลยพี่ มาาาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,Deaw Chaisiri,10 9 8 7 6 5,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:29,Thanathip Suwan,มาๆๆๆ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:29,evejangja,โอเล่ ยัง,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,TinyGirlz InHeartLandZ,@evejangja คนอื่น ยาออกฤทธิ์ 30 นาที น้องยาออกฤทธิ์ 3 ชม. กินตั้งแต่ 6 โมง ออกตอน 3 ทุ่ม พอดีค่ะ :rolling_on_the_floor_laughing:,80,1,0,0,0,0,0,0,0,0
30/11/2022 19:30,Megane SaMa,:_pake::_hello::_pake:,80,1,0,0,0,0,0,0,0,0
30/11/2022 19:30,MaoNamPla,มาาาาาาาาาา:_wat:,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,BeeBee,9,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,BeeBee,9.9,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,LT Chang,โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Baekkuchan,มาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,NIN NIN,:_hellothere::_hellothere::_hellothere::_hellothere:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,Deaw Chaisiri,มาแล้ว,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,PRN KTK,:_lol::_lol::_lol:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,Majin,โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,evejangja,@TinyGirlz InHeartLandZ นานเกินน 555,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Himo Gopp,มาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Nui Jintana,มาแล้ววว :smiling_face_with_hearts:,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Mintny Bambi,มาพี่ โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,NarnonnPlayGame,:_pimpim::_pimpim::_hello:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,Wiroj Sl,เอาว่าาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Wenldy Blue,:_stoneman::_stoneman::_stoneman:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,evejangja,มาา พี่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Woranuch Puntong,Welcome New Member!,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,Thanaporn Matpha,โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Blairxbear,มาค้าบบบบบบบบบบบบ:_hello::_hello::_hello::_hello::_hello::_layinfinit:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,funny,โอเล่ๆๆๆๆ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Wenldy Blue,:_hello::_hello::_hello::_hello::_hello:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,NEONN N,มาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,GLOY Maneerat,มาาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,EVA GAMER,โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Jularak Prommin,มาาาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,????????? ,สวัสดีพรี้หวัดดีครับผม:_hellothere:,0,0,0,0,0,0,1,0,0,0
30/11/2022 19:30,Elysia s Chair,โอเล่~~,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,NongGamgams,มารอค้าบบพรี่:_layhead::_laytail:,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,NARDEAR KRS,เปิดไมค์เรียบร้อยแล้ว 555,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Piraya P,:_stoneman::_stoneman:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,Pear Sisky,โอเล่~~~,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,dawwadung,มาาาา โอเล่ๆ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Pair,พึ่งตื่นแต่ก็มาทันบอกเลยยยย ,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,o0Palmy0o,โอเล่:_stoneman::_stoneman:,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Dream WT,โอเล่่่ห์์์์์,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Ju'mas,:_hello::_hello::_yey::_iphone:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,Shokrock Holme,โอเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,evejangja,หวัดดีล่วงหน้านะคะ พี่เอก,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,ORANGIE,เอโลลลลล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,llWUdha,เอกมาแล้ว ข้าวเราก็ยังไม่มา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Vorravit Kaewthep,โอเล่ๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,foolurx,โอเล่~~,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Pear Sisky,:_hellothere::_hellothere::_hellothere:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:30,Armun,โอเล่ !!!!!!!!!!,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Nuy'd Wangbenjasukee,มาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:30,Deaw Chaisiri,พี่กิตมาไวนะ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Shokrock Holme,:_ohwoo:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,ChocomintTea ?(???)?,:_ohwoo::_ohwoo::_ohwoo:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,LT Chang,โอเล่ๆๆๆๆๆ~~~~~,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,TinyGirlz InHeartLandZ,เลโอ้,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Pear Sisky,หวัดดีฮ้าาา,0,0,0,1,0,0,0,0,0,0
30/11/2022 19:31,Leekeanku,มาๆสิมา:_hello::_hello::_pake::_hrk::_sianglong:,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Nyx-,:_allday:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,wawawawawawhanjupjupjapjap,โออเล่,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,evejangja,รอฟังเสียงพี่ ไหวมั้ยนะ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Aery ThanK,มาาาาา :_layinfinit::_layinfinit:,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Papang Piyatida,:_stoneman:สวัสดีค่ะ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,MIRAmini,,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,MentaruDisorder,:_hello::_hello::_hello::_hello:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Pym Nunlaphat,:_hello::_hello:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Nat'nat Kanjana,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Bagman Ordinary,:_hello::_hello::_hello:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,PRN KTK,จัดไปไข่ตุ๋น,0,0,0,1,0,0,0,0,0,0
30/11/2022 19:31,FirstMystery,มาาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Kratae WB,โอเล่ๆ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Piraya P,เปิดไมค์แล้ว,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Aery ThanK,แต่ติดโฆษณานะ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,ta tar gunners,:_ohwoo::_layhead::_laytail:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Mira_Mo,เย้ มาทันล่ะวันนี้,66.67,1,0,0,0,0,0,0,0,1
30/11/2022 19:31,June Bunny,มาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,FLUFFY FAH,ขอญาตดูโฆษณา,0,0,0,0,0,0,1,0,0,0
30/11/2022 19:31,FIRST Mk,,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Jam Jam,พี่เอกเปนคนร้องเพลงนี้รึป่าว,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Moonista Gal,สวัสดียามเย็นจ้า ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Kawalee Suwannakhun,gogogogoooo,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Wenldy Blue,โอเล่ยยย,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,funny,:_iphone::_iphone::_iphone:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Ma Jan,ว้ายตายแล้ววว ยังดูไม่ถึงpartล่าสุดเลยยย:_conan::_conan::_conan::_conan:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,Tam Pkn,:_hello::_hello::_hello::_hello::_hello:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,meems,ยูทูปไม่เตือนเลย,66.67,1,0,0,0,0,0,0,0,1
30/11/2022 19:31,Wenldy Blue,สวัสดีค่าาา,0,0,0,1,0,0,0,0,0,0
30/11/2022 19:31,MaoNamPla,3วิ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,ORANGIE,มาแน้ววววววว,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,NongGamgams,เปิดไมค์แล้วค้าบ,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,ประวีณา พูลสวัสดิ์,ไหน,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,evejangja,หวัดดีค้าบบ,0,0,0,0,0,0,1,0,0,0
30/11/2022 19:31,Mintny Bambi,ทักทายๆค่ะพี่เอก,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,MentaruDisorder,:_hello::_hello::_hello::_pake::_noir::_hrk::_god:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,SInn P,มาาาาา,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Piraya P,ไหนเสียงเป็นไง,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Bell s,:_hello::_pake::_hellothere:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,imvi,อันยองง,66.67,0,1,0,0,0,0,0,0,1
30/11/2022 19:31,Supisara H.,ปกคือน่ารักไม่ไหว,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Wenldy Blue,:_hello::_hello::_hellothere::_pake::_pake:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,evejangja,ไม่เปิดไมค์,0,0,0,0,0,0,0,0,0,1
30/11/2022 19:31,Nat'nat Kanjana,:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:,0,0,0,0,0,0,0,0,0,0
30/11/2022 19:31,dawwadung,:_hello::_pake:,0,0,0,0,0,0,0,0,0,0
